MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:2136650	Clec2i	C-type lectin domain family 2, member i	6		external side of plasma membrane			IDA		J:86948 	
MGI:3588267	Clec4b2	C-type lectin domain family 4, member b2	6		external side of plasma membrane	is a part of dendritic cell		IDA		J:153802 	
MGI:1861431	Clec7a	C-type lectin domain family 7, member a	6		external side of plasma membrane	is a part of macrophage		IDA		J:87632 J:89006 	
MGI:1861431	Clec7a	C-type lectin domain family 7, member a	6		external side of plasma membrane	is a part of macrophage|is a part of monocyte|is a part of mature neutrophil|is a part of dendritic cell		IDA		J:89997 	
MGI:1861431	Clec7a	C-type lectin domain family 7, member a	6		external side of plasma membrane			IDA		J:89998 	
MGI:1918433	Clec12b	C-type lectin domain family 12, member B	6		external side of plasma membrane			ISO	Q2HXU8 	J:164563 	
MGI:1914114	Clec14a	C-type lectin domain family 14, member a	12		external side of plasma membrane			ISO	Q86T13 	J:232756 	
MGI:1927155	Clptm1	cleft lip and palate associated transmembrane protein 1	7		external side of plasma membrane			IDA		J:135028 	
MGI:88513	Cr1l	complement component (3b/4b) receptor 1-like	1		external side of plasma membrane	is a part of erythrocyte		IDA		J:145047 	
MGI:88489	Cr2	complement receptor 2	1		external side of plasma membrane	is a part of spleen,is a part of B cell		IDA		J:99189 	
MGI:88489	Cr2	complement receptor 2	1		external side of plasma membrane			IDA		J:87927 J:148242 	
MGI:88489	Cr2	complement receptor 2	1		external side of plasma membrane	is a part of marginal zone B cell|is a part of follicular B cell		IDA		J:110739 	
MGI:88489	Cr2	complement receptor 2	1		external side of plasma membrane	is a part of B cell		IDA		J:19437 	
MGI:1889506	Crlf2	cytokine receptor-like factor 2	5		external side of plasma membrane			IDA		J:93059 	
MGI:88556	Ctla4	cytotoxic T-lymphocyte-associated protein 4	1		external side of plasma membrane	is a part of CD4-positive, alpha-beta T cell		IDA		J:112602 	
MGI:88556	Ctla4	cytotoxic T-lymphocyte-associated protein 4	1		external side of plasma membrane			ISO	P16410 	J:164563 	
MGI:88561	Ctsb	cathepsin B	14		external side of plasma membrane			ISO	RGD:621509 	J:155856 	
MGI:88564	Ctsl	cathepsin L	13		external side of plasma membrane			ISO	RGD:2448 	J:155856 	
MGI:1352449	Cxcl9	chemokine (C-X-C motif) ligand 9	5		external side of plasma membrane	is a part of spleen,is a part of T cell		IDA		J:141392 	
MGI:1352450	Cxcl10	chemokine (C-X-C motif) ligand 10	5		external side of plasma membrane	is a part of spleen,is a part of T cell		IDA		J:141392 	
MGI:103556	Cxcl12	chemokine (C-X-C motif) ligand 12	6		external side of plasma membrane	is a part of spleen,is a part of T cell		IDA		J:141392 	
MGI:1277207	Cxcr3	chemokine (C-X-C motif) receptor 3	X		external side of plasma membrane	is a part of spleen,is a part of T cell		IDA		J:141392 	
MGI:1277207	Cxcr3	chemokine (C-X-C motif) receptor 3	X		external side of plasma membrane			ISO	RGD:621528 	J:155856 	
MGI:109563	Cxcr4	chemokine (C-X-C motif) receptor 4	1		external side of plasma membrane	is a part of spleen,is a part of T cell		IDA		J:141392 	
MGI:103567	Cxcr5	chemokine (C-X-C motif) receptor 5	9		external side of plasma membrane	happens in T cell		IDA		J:196136 	
MGI:101864	Dag1	dystroglycan 1	9		external side of plasma membrane			IDA		J:83782 	
MGI:94900	Dlk1	delta like non-canonical Notch ligand 1	12		external side of plasma membrane	is a part of liver,is a part of hematopoietic cell|is a part of liver,is a part of hepatocyte		IDA		J:141412 	
MGI:2685574	Dnaic2	dynein, axonemal, intermediate chain 2	11		external side of plasma membrane	is a part of secondary oocyte		IDA		J:219770 	
MGI:1101357	Ece1	endothelin converting enzyme 1	4		external side of plasma membrane			ISO	P42892 	J:164563 	
MGI:1101357	Ece1	endothelin converting enzyme 1	4		external side of plasma membrane			ISO	RGD:620293 	J:155856 	
MGI:107444	Efna5	ephrin A5	17		anchored component of external side of plasma membrane			ISO	P52803 	J:164563 	
MGI:95392	Eng	endoglin	2		external side of plasma membrane			ISO	P17813 	J:164563 	
MGI:2384799	Enox2	ecto-NOX disulfide-thiol exchanger 2	X		external side of plasma membrane			ISO	Q16206 	J:164563 	
MGI:106645	Enpep	glutamyl aminopeptidase	3		external side of plasma membrane	is a part of B cell		IDA		J:27374 	
MGI:99654	Epha5	Eph receptor A5	5		external side of plasma membrane			ISO	P54756 	J:164563 	
MGI:95408	Epor	erythropoietin receptor	9		external side of plasma membrane			ISO	RGD:2560 	J:155856 	
MGI:88380	F2	coagulation factor II	2	colocalizes_with	external side of plasma membrane			ISO	P00734 	J:164563 	
MGI:2442797	F630003A18Rik	RIKEN cDNA F630003A18 gene	16		external side of plasma membrane			IBA	PTN001087295 	J:161428 	
MGI:95484	Fas	Fas (TNF receptor superfamily member 6)	19		external side of plasma membrane	is a part of fibroblast		IDA		J:104536 	
MGI:95484	Fas	Fas (TNF receptor superfamily member 6)	19		external side of plasma membrane	is a part of T cell|is a part of B cell		IDA		J:31364 	
MGI:95484	Fas	Fas (TNF receptor superfamily member 6)	19		external side of plasma membrane	is a part of lymphocyte		IDA		J:125784 	
MGI:95484	Fas	Fas (TNF receptor superfamily member 6)	19		external side of plasma membrane			IDA		J:97777 	
MGI:95484	Fas	Fas (TNF receptor superfamily member 6)	19		external side of plasma membrane	is a part of dendritic cell		IDA		J:87420 	
MGI:95484	Fas	Fas (TNF receptor superfamily member 6)	19		external side of plasma membrane	happens in B cell		IDA		J:196136 	
MGI:99255	Fasl	Fas ligand (TNF superfamily, member 6)	1		external side of plasma membrane	is a part of CD4-positive, alpha-beta T cell|is a part of CD8-positive, alpha-beta T cell		IDA		J:113553 	
MGI:95494	Fcer1a	Fc receptor, IgE, high affinity I, alpha polypeptide	1		external side of plasma membrane			IDA		J:31359 	
MGI:95494	Fcer1a	Fc receptor, IgE, high affinity I, alpha polypeptide	1		external side of plasma membrane	is a part of mast cell		IDA		J:37676 	
MGI:95496	Fcer1g	Fc receptor, IgE, high affinity I, gamma polypeptide	1		external side of plasma membrane	is a part of mast cell		IDA		J:88051 	
MGI:95496	Fcer1g	Fc receptor, IgE, high affinity I, gamma polypeptide	1		external side of plasma membrane			IDA		J:31359 	
MGI:95497	Fcer2a	Fc receptor, IgE, low affinity II, alpha polypeptide	8		external side of plasma membrane	is a part of follicular B cell		IDA		J:110739 	
MGI:95497	Fcer2a	Fc receptor, IgE, low affinity II, alpha polypeptide	8		external side of plasma membrane	is a part of spleen,is a part of B cell		IDA		J:99189 	
MGI:95497	Fcer2a	Fc receptor, IgE, low affinity II, alpha polypeptide	8		external side of plasma membrane			IDA		J:64281 J:84929 J:87927 J:148242 	
MGI:95497	Fcer2a	Fc receptor, IgE, low affinity II, alpha polypeptide	8		external side of plasma membrane	is a part of B cell		IDA		J:19437 J:30239 	
MGI:95498	Fcgr1	Fc receptor, IgG, high affinity I	3		external side of plasma membrane			IDA		J:86281 	
MGI:95499	Fcgr2b	Fc receptor, IgG, low affinity IIb	1		external side of plasma membrane			IDA		J:31133 J:35057 	
MGI:95500	Fcgr3	Fc receptor, IgG, low affinity III	1		external side of plasma membrane			IDA		J:148788 	
MGI:2179523	Fcgr4	Fc receptor, IgG, low affinity IV	1		external side of plasma membrane			ISO	P08637 	J:164563 	
MGI:1916419	Fcmr	Fc fragment of IgM receptor	1		external side of plasma membrane			IDA		J:97777 	
MGI:1341158	Fcnb	ficolin B	2		extrinsic component of external side of plasma membrane			ISO	O00602 	J:164563 	
MGI:3618339	Fcrl6	Fc receptor-like 6	1		external side of plasma membrane			IDA		J:145327 	
MGI:3618339	Fcrl6	Fc receptor-like 6	1		external side of plasma membrane			ISO	Q6DN72 	J:145327 	
MGI:1316726	Fga	fibrinogen alpha chain	3		external side of plasma membrane			ISO	P02671 	J:164563 	
MGI:99501	Fgb	fibrinogen beta chain	3		external side of plasma membrane			ISO	P02675 	J:164563 	
MGI:99604	Fgf8	fibroblast growth factor 8	19		external side of plasma membrane			ISO	RGD:70891 	J:155856 	
MGI:95526	Fgg	fibrinogen gamma chain	3		external side of plasma membrane			ISO	P02679 	J:164563 	
MGI:95559	Flt3	FMS-like tyrosine kinase 3	5		external side of plasma membrane			IDA		J:203580 	
MGI:95560	Flt3l	FMS-like tyrosine kinase 3 ligand	7		intrinsic component of external side of plasma membrane		PR:P49772-2	IDA		J:36245 	
MGI:95560	Flt3l	FMS-like tyrosine kinase 3 ligand	7		intrinsic component of external side of plasma membrane			IDA		J:16458 	
MGI:95560	Flt3l	FMS-like tyrosine kinase 3 ligand	7		intrinsic component of external side of plasma membrane		PR:P49772-1	IDA		J:36245 	
MGI:95568	Folr1	folate receptor 1 (adult)	7		anchored component of external side of plasma membrane			ISO	P15328 	J:164563 	
MGI:95569	Folr2	folate receptor 2 (fetal)	7		anchored component of external side of plasma membrane			ISO	P14207 	J:164563 	
MGI:1100842	Gfra1	glial cell line derived neurotrophic factor family receptor alpha 1	19		external side of plasma membrane			ISO	RGD:2681 	J:155856 	
MGI:1201403	Gfra3	glial cell line derived neurotrophic factor family receptor alpha 3	18		external side of plasma membrane			IDA		J:45720 	
MGI:95747	Glra1	glycine receptor, alpha 1 subunit	11		external side of plasma membrane			IDA		J:120269 	
MGI:95751	Glrb	glycine receptor, beta subunit	3		external side of plasma membrane			ISA	P07727 	J:120269 	
MGI:1333744	Gp1ba	glycoprotein 1b, alpha polypeptide	11	colocalizes_with	anchored component of external side of plasma membrane	is a part of platelet|is a part of megakaryocyte		IDA		J:148918 	
MGI:1333744	Gp1ba	glycoprotein 1b, alpha polypeptide	11	colocalizes_with	anchored component of external side of plasma membrane			ISO	P07359 	J:164563 	
MGI:104902	Gpc4	glypican 4	X		external side of plasma membrane			ISO	O75487 	J:59258 	
MGI:1915703	Gpihbp1	GPI-anchored HDL-binding protein 1	15		external side of plasma membrane			IDA		J:129764 J:162997 	
MGI:95804	Gsr	glutathione reductase	8		external side of plasma membrane			IDA		J:202604 	
MGI:106025	Gucy2g	guanylate cyclase 2g	19		external side of plasma membrane			IDA		J:88941 	
MGI:95880	Gypa	glycophorin A	8		external side of plasma membrane			IDA		J:89320 	
MGI:95895	H2-Aa	histocompatibility 2, class II antigen A, alpha	17		external side of plasma membrane			IDA		J:4119 J:31625 J:31786 J:68798 	
MGI:95895	H2-Aa	histocompatibility 2, class II antigen A, alpha	17		external side of plasma membrane	is a part of B cell		IDA		J:31624 	
MGI:95895	H2-Aa	histocompatibility 2, class II antigen A, alpha	17		external side of plasma membrane	is a part of spleen		IDA		J:88532 	
MGI:95895	H2-Aa	histocompatibility 2, class II antigen A, alpha	17		external side of plasma membrane	is a part of lymph node		IDA		J:85084 	
MGI:103070	H2-Ab1	histocompatibility 2, class II antigen A, beta 1	17		external side of plasma membrane			IDA		J:31625 J:31786 J:68798 J:88532 	
MGI:103070	H2-Ab1	histocompatibility 2, class II antigen A, beta 1	17		external side of plasma membrane	is a part of B cell		IDA		J:4119 J:31624 	
MGI:103070	H2-Ab1	histocompatibility 2, class II antigen A, beta 1	17		external side of plasma membrane	is a part of lymph node		IDA		J:85084 	
MGI:103070	H2-Ab1	histocompatibility 2, class II antigen A, beta 1	17		external side of plasma membrane	is a part of dendritic cell		IDA		J:87420 J:87421 	
MGI:95896	H2-D1	histocompatibility 2, D region locus 1	17		external side of plasma membrane	is a part of T cell		IDA		J:1767 	
MGI:95896	H2-D1	histocompatibility 2, D region locus 1	17		external side of plasma membrane			IDA		J:84807 	
MGI:95900	H2-Ea-ps	histocompatibility 2, class II antigen E alpha, pseudogene	17		external side of plasma membrane	is a part of B cell		IDA		J:4119 	
MGI:95904	H2-K1	histocompatibility 2, K1, K region	17		external side of plasma membrane	is a part of T cell		IDA		J:1767 	
MGI:95904	H2-K1	histocompatibility 2, K1, K region	17		external side of plasma membrane	is a part of fibroblast		IDA		J:89707 	
MGI:95904	H2-K1	histocompatibility 2, K1, K region	17		external side of plasma membrane	is a part of microglial cell|is a part of astrocyte		IDA		J:93933 	
MGI:95904	H2-K1	histocompatibility 2, K1, K region	17		external side of plasma membrane			IDA		J:39748 J:84807 J:89706 	
MGI:95915	H2-M3	histocompatibility 2, M region locus 3	17		external side of plasma membrane			IDA		J:4408 	
MGI:95915	H2-M3	histocompatibility 2, M region locus 3	17		external side of plasma membrane	is a part of lymphocyte		IDA		J:118960 	
MGI:95938	H2-Q9	histocompatibility 2, Q region locus 9	17		external side of plasma membrane			IDA		J:137349 	
MGI:1306817	H60a	histocompatibility 60a	10		external side of plasma membrane	is a part of T cell		IDA		J:82077 	
MGI:1924696	Heg1	heart development protein with EGF-like domains 1	16		external side of plasma membrane			IDA		J:146528 	
MGI:109191	Hfe	hemochromatosis	13		external side of plasma membrane			ISO	Q30201 	J:164563 	
MGI:96281	Htr2c	5-hydroxytryptamine (serotonin) receptor 2C	X		external side of plasma membrane			ISO	P08909 	J:73065 	
MGI:1196334	Hyal2	hyaluronoglucosaminidase 2	9	colocalizes_with	anchored component of external side of plasma membrane	is a part of platelet|is a part of megakaryocyte		IDA		J:148918 	
MGI:1196334	Hyal2	hyaluronoglucosaminidase 2	9	NOT	anchored component of external side of plasma membrane			IDA		J:182393 	
MGI:1921718	Hyal5	hyaluronoglucosaminidase 5	6		external side of plasma membrane			IDA		J:117970 	
MGI:96392	Icam1	intercellular adhesion molecule 1	9		external side of plasma membrane			IDA		J:140121 	
MGI:96392	Icam1	intercellular adhesion molecule 1	9		external side of plasma membrane	is a part of CD4-positive, alpha-beta T cell|is a part of CD8-positive, alpha-beta T cell		IDA		J:113553 	
MGI:1858745	Icos	inducible T cell co-stimulator	1		external side of plasma membrane	is a part of T cell		IDA		J:61649 	
MGI:1858745	Icos	inducible T cell co-stimulator	1		external side of plasma membrane	happens in T cell		IDA		J:196136 	
MGI:1858745	Icos	inducible T cell co-stimulator	1		external side of plasma membrane	is a part of CD4-positive, alpha-beta T cell		IDA		J:112602 	
MGI:1858745	Icos	inducible T cell co-stimulator	1		external side of plasma membrane	is a part of spleen,is a part of T cell		IDA		J:141392 	
MGI:1354701	Icosl	icos ligand	10		external side of plasma membrane			IDA		J:60318 	
MGI:1354701	Icosl	icos ligand	10		external side of plasma membrane	is a part of precursor B cell		IDA		J:61649 	
MGI:107656	Ifng	interferon gamma	10		external side of plasma membrane			IDA		J:118947 J:123631 J:157744 J:160369 J:165919 J:168252 J:173331 J:174389 J:175944 	
MGI:96444	Igha	immunoglobulin heavy constant alpha	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:96447	Ighd	immunoglobulin heavy constant delta	12		external side of plasma membrane			IDA		J:64281 J:87927 J:98417 J:155898 	
MGI:96447	Ighd	immunoglobulin heavy constant delta	12		external side of plasma membrane	is a part of B cell		IDA		J:19437 J:30239 J:33466 J:42368 J:53400 J:60916 	
MGI:96447	Ighd	immunoglobulin heavy constant delta	12		external side of plasma membrane	is a part of splenocyte		IDA		J:88708 	
MGI:96447	Ighd	immunoglobulin heavy constant delta	12		external side of plasma membrane	is a part of spleen		IDA		J:99189 	
MGI:96447	Ighd	immunoglobulin heavy constant delta	12		external side of plasma membrane	is a part of spleen,is a part of B cell|is a part of lymph node,is a part of B cell|is a part of peritoneal cavity,is a part of B cell		IDA		J:29796 	
MGI:2685746	Ighe	Immunoglobulin heavy constant epsilon	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:2144967	Ighg	Immunoglobulin heavy chain (gamma polypeptide)	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:96446	Ighg1	immunoglobulin heavy constant gamma 1 (G1m marker)	12		external side of plasma membrane			IDA		J:141184 	
MGI:96443	Ighg2a	immunoglobulin heavy constant gamma 2A	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:96445	Ighg2b	immunoglobulin heavy constant gamma 2B	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:2686979	Ighg2c	immunoglobulin heavy constant gamma 2C	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:2144790	Ighg3	Immunoglobulin heavy constant gamma 3	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:96448	Ighm	immunoglobulin heavy constant mu	12		external side of plasma membrane	is a part of bone marrow,is a part of B cell|is a part of spleen,is a part of B cell|is a part of peritoneal cavity,is a part of B cell		IDA		J:29797 	
MGI:96448	Ighm	immunoglobulin heavy constant mu	12		external side of plasma membrane	is a part of spleen,is a part of B cell		IDA		J:99189 	
MGI:96448	Ighm	immunoglobulin heavy constant mu	12		external side of plasma membrane	is a part of spleen,is a part of B cell|is a part of lymph node,is a part of B cell|is a part of peritoneal cavity,is a part of B cell		IDA		J:29796 	
MGI:96448	Ighm	immunoglobulin heavy constant mu	12		external side of plasma membrane			IDA		J:31951 J:64281 J:84929 J:87927 J:88708 J:94881 J:98417 J:127719 J:155898 	
MGI:96448	Ighm	immunoglobulin heavy constant mu	12		external side of plasma membrane	is a part of B cell		IDA		J:19437 J:30239 J:33466 J:42368 J:53400 J:60916 J:64603 	
MGI:4439618	Ighv1-4	immunoglobulin heavy variable 1-4	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:3704121	Ighv1-5	immunoglobulin heavy variable V1-5	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:3704122	Ighv1-7	immunoglobulin heavy variable V1-7	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439621	Ighv1-9	immunoglobulin heavy variable V1-9	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:5009835	Ighv1-11	immunoglobulin heavy variable V1-11	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:3646284	Ighv1-12	immunoglobulin heavy variable V1-12	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439782	Ighv1-15	immunoglobulin heavy variable 1-15	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:3647704	Ighv1-16	immunoglobulin heavy variable 1-16	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439780	Ighv1-18	immunoglobulin heavy variable V1-18	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439779	Ighv1-19	immunoglobulin heavy variable V1-19	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:3644607	Ighv1-20	immunoglobulin heavy variable V1-20	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439784	Ighv1-22	immunoglobulin heavy variable 1-22	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:3815050	Ighv1-23	immunoglobulin heavy variable V1-23	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:3815052	Ighv1-24	immunoglobulin heavy variable V1-24	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439641	Ighv1-26	immunoglobulin heavy variable 1-26	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439889	Ighv1-31	immunoglobulin heavy variable 1-31	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439659	Ighv1-34	immunoglobulin heavy variable 1-34	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439639	Ighv1-36	immunoglobulin heavy variable 1-36	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439640	Ighv1-37	immunoglobulin heavy variable 1-37	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439888	Ighv1-39	immunoglobulin heavy variable 1-39	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:3704123	Ighv1-42	immunoglobulin heavy variable V1-42	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:3704124	Ighv1-43	immunoglobulin heavy variable V1-43	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439890	Ighv1-47	immunoglobulin heavy variable 1-47	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439754	Ighv1-49	immunoglobulin heavy variable 1-49	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439753	Ighv1-50	immunoglobulin heavy variable 1-50	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439752	Ighv1-52	immunoglobulin heavy variable 1-52	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:3576502	Ighv1-53	immunoglobulin heavy variable 1-53	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:3647133	Ighv1-54	immunoglobulin heavy variable V1-54	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439716	Ighv1-55	immunoglobulin heavy variable 1-55	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439715	Ighv1-56	immunoglobulin heavy variable 1-56	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439557	Ighv1-58	immunoglobulin heavy variable 1-58	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:3644474	Ighv1-59	immunoglobulin heavy variable V1-59	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439824	Ighv1-61	immunoglobulin heavy variable 1-61	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:3704125	Ighv1-62-1	immunoglobulin heavy variable 1-62-1	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:3644968	Ighv1-62-2	immunoglobulin heavy variable 1-62-2	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:3648544	Ighv1-62-3	immunoglobulin heavy variable 1-62-3	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:3642755	Ighv1-63	immunoglobulin heavy variable V1-63	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439789	Ighv1-64	immunoglobulin heavy variable 1-64	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439825	Ighv1-66	immunoglobulin heavy variable 1-66	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:3645228	Ighv1-67	immunoglobulin heavy variable V1-67	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439632	Ighv1-69	immunoglobulin heavy variable 1-69	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439633	Ighv1-72	immunoglobulin heavy variable 1-72	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:3645131	Ighv1-73	immunoglobulin heavy variable 1-73	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439634	Ighv1-74	immunoglobulin heavy variable V1-74	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439735	Ighv1-75	immunoglobulin heavy variable 1-75	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439737	Ighv1-76	immunoglobulin heavy variable 1-76	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439670	Ighv1-77	immunoglobulin heavy variable 1-77	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439736	Ighv1-78	immunoglobulin heavy variable 1-78	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439738	Ighv1-80	immunoglobulin heavy variable 1-80	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439635	Ighv1-81	immunoglobulin heavy variable 1-81	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439671	Ighv1-82	immunoglobulin heavy variable 1-82	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:3648939	Ighv1-83	immunoglobulin heavy variable 1-83	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:3644235	Ighv1-84	immunoglobulin heavy variable 1-84	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:3645723	Ighv1-85	immunoglobulin heavy variable 1-85	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439894	Ighv2-2	immunoglobulin heavy variable 2-2	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439872	Ighv2-3	immunoglobulin heavy variable 2-3	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:3643263	Ighv2-4	immunoglobulin heavy variable V2-4	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439517	Ighv2-5	immunoglobulin heavy variable 2-5	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439518	Ighv2-6	immunoglobulin heavy variable 2-6	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439811	Ighv2-6-8	immunoglobulin heavy variable 2-6-8	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439521	Ighv2-7	immunoglobulin heavy variable 2-7	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439624	Ighv2-9	immunoglobulin heavy variable 2-9	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439519	Ighv2-9-1	immunoglobulin heavy variable 2-9-1	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439534	Ighv3-1	immunoglobulin heavy variable 3-1	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:3643949	Ighv3-3	immunoglobulin heavy variable V3-3	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:3644034	Ighv3-4	immunoglobulin heavy variable V3-4	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:3648045	Ighv3-5	immunoglobulin heavy variable 3-5	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439856	Ighv3-6	immunoglobulin heavy variable 3-6	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:3645298	Ighv3-8	immunoglobulin heavy variable V3-8	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439536	Ighv4-1	immunoglobulin heavy variable 4-1	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439893	Ighv5-2	immunoglobulin heavy variable 5-2	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439895	Ighv5-4	immunoglobulin heavy variable 5-4	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439815	Ighv5-6	immunoglobulin heavy variable 5-6	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439873	Ighv5-9	immunoglobulin heavy variable 5-9	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439810	Ighv5-9-1	immunoglobulin heavy variable 5-9-1	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439516	Ighv5-12	immunoglobulin heavy variable 5-12	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:3645977	Ighv5-12-4	immunoglobulin heavy variable 5-12-4	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439812	Ighv5-15	immunoglobulin heavy variable 5-15	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439556	Ighv5-16	immunoglobulin heavy variable 5-16	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439533	Ighv5-17	immunoglobulin heavy variable 5-17	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439854	Ighv6-3	immunoglobulin heavy variable 6-3	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:3704120	Ighv6-4	immunoglobulin heavy variable V6-4	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:3647134	Ighv6-5	immunoglobulin heavy variable V6-5	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
MGI:4439619	Ighv6-6	immunoglobulin heavy variable 6-6	12		external side of plasma membrane			IBA	PTN001510949 	J:161428 	
